"id","name","description","iconPath","price","flatHPPoolMod","flatMPPoolMod","percentHPPoolMod","percentMPPoolMod","flatHPRegenMod","percentHPRegenMod","flatMPRegenMod","percentMPRegenMod","flatArmorMod","percentArmorMod","flatAttackDamageMod","percentAttackDamageMod","flatAbilityPowerMod","percentAbilityPowerMod","flatMovementSpeedMod","percentMovementSpeedMod","flatAttackSpeedMod","percentAttackSpeedMod","flatDodgeMod","percentDodgeMod","flatCritChanceMod","percentCritChanceMod","flatCritDamageMod","percentCritDamageMod","flatMagicResistMod","percentMagicResistMod","flatEXPBonus","percentEXPBonus","epicness"
"1001","Boots of Speed","<groupLimit>Limited to 1.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed<br><br><i>(Unique Passives with the same name don't stack.)</i>","1001_Boots_of_Speed.png","325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1004","Faerie Charm","<stats>+3 Mana Regen per 5 seconds</stats>","1004_Faerie_Charm.png","180","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1006","Rejuvenation Bead","<stats>+5 Health Regen per 5 seconds</stats>","1006_Rejuvenation_Bead.png","180","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1011","Giant's Belt","<stats>+380 Health</stats>","1011_Mighty_Waistband_of_the_Reaver.png","1000","380.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1018","Cloak of Agility","<stats>+15% Critical Strike Chance</stats>","1018_Cloak_of_Agility.png","730","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1026","Blasting Wand","<stats>+40 Ability Power</stats>","1026_Blasting_Band.png","860","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1027","Sapphire Crystal","<stats>+200 Mana</stats>","1027_Sapphire_Sphere.png","400","0.0","200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1028","Ruby Crystal","<stats>+150 Health</stats>","1028_RubyCrystal.png","400","150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1029","Cloth Armor","<stats>+15 Armor</stats>","1029_Cloth_Armour.png","300","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1031","Chain Vest","<stats>+40 Armor</stats>","1031_Chain_Vest.png","720","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1033","Null-Magic Mantle","<stats>+20 Magic Resist</stats>","1033_Elementium_Threaded_Cloak.png","400","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0"
"1036","Long Sword","<stats>+10 Attack Damage</stats>","1036_Long_Sword.png","360","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1037","Pickaxe","<stats>+25 Attack Damage</stats>","1037_Broadsword.png","875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1038","B. F. Sword","<stats>+45 Attack Damage</stats>","1038_BF_Sword.png","1550","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1039","Hunter's Machete","<unique>UNIQUE Passive - Maim:</unique> Basic attacks against monsters deal 10 bonus magic damage and heal 5 Health on hit.<br><unique>UNIQUE Passive - Butcher:</unique> Against monsters, deal 10% bonus damage.<br><br><i>(Unique Passives with the same name don't stack.)</i>","1039_Butchers_Machete.png","300","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1042","Dagger","<stats>+12% Attack Speed</stats>","1042_Dagger.png","400","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1043","Recurve Bow","<stats>+30% Attack Speed</stats>","1043_Steel_Stiletto.png","900","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1051","Brawler's Gloves","<stats>+8% Critical Strike Chance</stats>","1051_Brawlers_Gloves.png","400","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1052","Amplifying Tome","<stats>+20 Ability Power</stats>","1052_Amplifying_Scepter.png","435","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1053","Vampiric Scepter","<stats>+10 Attack Damage<br>+10% Life Steal</stats>","1053_Vampiric_Scepter.png","440","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1054","Doran's Shield","<stats>+80 Health<br>+6 Health Regen per 5 seconds</stats><br><br><unique>UNIQUE Passive:</unique> Blocks 8 damage from champion basic attacks.","033_Buckler.png","440","80.0","0.0","0.0","0.0","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1055","Doran's Blade","<stats>+80 Health<br>+8 Attack Damage</stats><br><br><passive>Passive:</passive> Basic attacks restore Health on hit. (3 Health for ranged champions and 5 Health for melee champions.)","PetAttack.png","440","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1056","Doran's Ring","<stats>+60 Health<br>+15 Ability Power<br>+3 Mana Regen per 5 seconds</stats><br><br><passive>Passive:</passive> Restores 4 Mana upon killing a unit.","165_Harmony_Ring.png","400","60.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1057","Negatron Cloak","<stats>+40 Magic Resist</stats>","161_Elementium_Woven_Mantle.png","720","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0"
"1058","Needlessly Large Rod","<stats>+80 Ability Power</stats>","1058_Needlessly_Large_Wand.png","1600","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
"1062","Prospector's Blade","<stats>+16 Attack Damage<br>+15% Attack Speed </stats><br><br><unique>UNIQUE Passive - Prospector:</unique> +150 Health<br><br><i>(Unique Passives with the same name don't stack.)</i>","1062_ProspectorsBlade.png","950","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0"
